#{"t_start": 1761931394.936203, "env_id": "CarRacing-v3"}
r,l,t
-58.730159,1000,9.200489
-42.528736,1000,24.850894
-45.686901,1000,41.164633
-36.619718,1000,58.932097
-62.068966,1000,74.266662
-20.152091,1000,90.396115
-61.661342,1000,105.70701
-61.038961,1000,122.056149
-17.266187,1000,137.330684
-48.051948,1000,152.574317
-75.206612,1000,167.74958
-57.597173,1000,183.2791
3.092784,1000,198.444349
-46.428571,1000,214.389863
-42.857143,1000,230.09912
-59.876543,1000,245.410025
24.113475,1000,260.923767
29.151292,1000,276.570917
181.786942,1000,291.868386
37.195122,1000,308.934595
-9.385113,1000,325.05887
-31.271478,1000,340.944144
5.413105,1000,356.604101
271.237458,1000,371.954513
315.384615,1000,387.390436
166.211604,1000,405.226846
22.580645,1000,420.838569
20.253165,1000,437.443411
12.727273,1000,452.76215
383.766234,1000,469.154364
196.703297,1000,485.550555
143.150685,1000,501.583739
688.888889,1000,517.949098
320.289855,1000,534.442149
-97.01735,886,549.030685
330.107527,1000,565.534956
296.774194,1000,581.671269
193.333333,1000,590.929146
521.621622,1000,606.312572
276.582278,1000,623.053348
383.443709,1000,638.873982
344.852941,1000,655.592224
548.74552,1000,671.740008
548.221344,1000,687.63099
726.568266,1000,703.410674
385.82996,1000,719.374322
369.208211,1000,735.840642
704.794521,1000,752.522409
523.376623,1000,771.176238
810.034602,1000,789.346231
648.120301,1000,807.150837
793.442623,1000,823.558194
587.05036,1000,840.314726
686.624204,1000,856.593312
826.153846,1000,873.032189
221.192053,1000,889.696381
769.565217,1000,905.659372
773.563218,1000,921.882132
679.264214,1000,938.388839
439.936102,1000,954.620036
441.37931,1000,970.908614
387.5,1000,987.442776
82.509506,1000,1003.97061
629.72973,1000,1020.157581
294.984326,1000,1035.952036
877.695167,1000,1052.180132
357.627119,1000,1068.300769
312.751678,1000,1084.928721
755.704698,1000,1101.620625
634.767025,1000,1117.724931
439.215686,1000,1135.845392
385.507246,1000,1153.880574
783.636364,1000,1169.667567
505.263158,1000,1186.706504
209.9631,1000,1203.014513
67.30038,1000,1217.981378
694.612795,1000,1234.602432
702.083333,1000,1250.826528
359.363958,1000,1267.727148
540.28777,1000,1283.494169
313.793103,1000,1293.807468
344.839858,1000,1309.987486
568.874172,1000,1326.214874
200.0,1000,1341.883428
593.877551,1000,1358.996389
550.165017,1000,1376.2748
302.985075,1000,1392.516159
740.83045,1000,1408.627404
866.911765,1000,1424.36903
490.0,1000,1439.972181
721.917808,1000,1456.528234
771.323529,1000,1472.971518
784.057971,1000,1489.133766
367.320261,1000,1507.270629
882.993197,1000,1523.140957
795.470383,1000,1541.383587
520.805369,1000,1558.174527
801.587302,1000,1573.689866
892.537313,1000,1589.608262
794.039735,1000,1605.876356
900.6,994,1621.888637
864.912281,1000,1637.734635
790.070922,1000,1654.694124
364.646465,1000,1670.747387
878.571429,1000,1687.126726
607.100592,1000,1703.337242
864.412811,1000,1719.833319
739.541547,1000,1735.821039
862.328767,1000,1752.047776
603.333333,1000,1767.773838
595.035461,1000,1783.467942
343.729904,1000,1799.650877
599.300699,1000,1815.865473
464.45993,1000,1831.429357
869.69697,1000,1849.594172
369.75089,1000,1867.189022
848.412698,1000,1882.996736
468.093385,1000,1899.441018
857.597173,1000,1915.737966
718.84058,1000,1931.823012
489.090909,1000,1948.091909
505.015674,1000,1964.404337
453.054662,1000,1974.273505
844.636678,1000,1990.027476
867.105263,1000,2006.851801
826.421405,1000,2022.903753
